Symbol,Type,EntryTimeUTC,EntryPrice,LotSize,SL,TP,ExitTimeUTC,ExitPrice,Status,Commission,PnL_Currency,BalanceAfterTrade
EURUSD,SELL,2025-06-19 07:49:00+00:00,1.14686,0.01,1.1473,1.1451,2025-06-19 08:03:00+00:00,1.14647,SL_HIT,0.07,0.3199999999998904,200.31999999999988
XAUUSD,SELL,2025-06-19 12:03:00+00:00,3371.473,0.01,3372.619,3366.889,2025-06-19 12:11:00+00:00,3366.889,TP_HIT,0.11,4.473999999999832,204.7939999999997
XAUUSD,SELL,2025-06-19 12:13:00+00:00,3370.956,0.01,3372.165,3366.12,2025-06-19 12:14:00+00:00,3366.12,TP_HIT,0.11,4.72600000000024,209.51999999999992
XAUUSD,SELL,2025-06-19 12:21:00+00:00,3365.856,0.01,3367.501,3359.276,2025-06-19 12:25:00+00:00,3365.831,SL_HIT,0.11,-0.08499999999990905,209.435
USOIL,BUY,2025-06-19 12:42:00+00:00,74.345,0.01,74.248,74.733,2025-06-19 12:46:00+00:00,74.248,SL_HIT,0.16,-1.129999999999942,208.30500000000006
USOIL,BUY,2025-06-19 13:12:00+00:00,74.303,0.01,74.176,74.811,2025-06-19 13:22:00+00:00,74.176,SL_HIT,0.16,-1.4299999999999533,206.8750000000001
EURUSD,SELL,2025-06-19 13:27:00+00:00,1.14776,0.01,1.14808,1.14648,2025-06-19 13:31:00+00:00,1.14808,SL_HIT,0.07,-0.390000000000098,206.485
USOIL,BUY,2025-06-19 13:35:00+00:00,74.285,0.01,74.178,74.713,2025-06-19 13:40:00+00:00,74.713,TP_HIT,0.16,4.119999999999973,210.605
USOIL,BUY,2025-06-19 13:49:00+00:00,74.636,0.01,74.496,75.196,2025-06-19 13:55:00+00:00,74.605,SL_HIT,0.16,-0.46999999999991704,210.13500000000008
AUDJPY,SELL,2025-06-13 00:20:00+00:00,92.906,0.01,93.004,92.514,2025-06-13 00:39:00+00:00,92.514,TP_HIT,0.09,2.5929835872586353,202.59298358725863
AUDJPY,SELL,2025-06-13 01:02:00+00:00,92.613,0.01,92.706,92.241,2025-06-13 01:08:00+00:00,92.49,SL_HIT,0.09,0.7518545439612656,203.3448381312199
AUDJPY,SELL,2025-06-13 02:38:00+00:00,92.781,0.01,92.838,92.553,2025-06-13 02:46:00+00:00,92.681,SL_HIT,0.09,0.5944345885864273,203.93927271980633
AUDJPY,SELL,2025-06-13 02:48:00+00:00,92.791,0.01,92.847,92.567,2025-06-13 02:52:00+00:00,92.769,SL_HIT,0.09,0.06057560948894203,203.99984832929528
BTCJPY,SELL,2025-06-13 04:16:00+00:00,14914689.0,0.01,14936735.0,14826505.0,2025-06-13 04:26:00+00:00,14936735.0,SL_HIT,0.21,-1.7189044939975084,202.28094383529776
BTCJPY,SELL,2025-06-13 05:14:00+00:00,14970904.0,0.01,14989054.0,14898304.0,2025-06-13 05:16:00+00:00,14989054.0,SL_HIT,0.21,-1.4522487782842592,200.8286950570135
BTCJPY,SELL,2025-06-13 05:53:00+00:00,14963951.0,0.01,14982049.0,14891559.0,2025-06-13 06:02:00+00:00,14946810.0,SL_HIT,0.21,0.9631893282958948,201.7918843853094
ETHUSD,SELL,2025-06-13 08:02:00+00:00,2526.86,0.1,2532.73,2503.38,2025-06-13 08:09:00+00:00,2532.73,SL_HIT,0.3,-0.8869999999999891,200.9048843853094
BTCXAU,SELL,2025-06-13 08:36:00+00:00,30.67225,0.01,30.70912,30.52477,2025-06-13 08:38:00+00:00,30.70912,SL_HIT,0.2,-1.4420124062000135,199.4628719791094
BTCXAU,SELL,2025-06-13 08:40:00+00:00,30.67961,0.01,30.71691,30.53041,2025-06-13 09:13:00+00:00,30.53041,TP_HIT,0.2,4.825989992000015,204.2888619711094
ETHUSD,SELL,2025-06-13 09:19:00+00:00,2514.04,0.1,2519.2,2493.4,2025-06-13 09:27:00+00:00,2513.91,SL_HIT,0.3,-0.2869999999999891,204.00186197110943
ETHUSD,SELL,2025-06-14 07:19:00+00:00,2537.5,0.1,2539.99,2527.54,2025-06-14 07:23:00+00:00,2535.57,SL_HIT,0.3,-0.10700000000001636,203.8948619711094
ETHUSD,SELL,2025-06-14 07:25:00+00:00,2538.53,0.1,2540.98,2528.73,2025-06-14 07:31:00+00:00,2540.98,SL_HIT,0.3,-0.5449999999999818,203.34986197110942
ETHUSD,SELL,2025-06-14 07:55:00+00:00,2539.49,0.1,2542.0,2529.45,2025-06-14 08:08:00+00:00,2529.45,TP_HIT,0.3,0.7039999999999964,204.05386197110943
ETHUSD,SELL,2025-06-14 09:07:00+00:00,2531.53,0.1,2533.81,2522.41,2025-06-14 09:13:00+00:00,2533.81,SL_HIT,0.3,-0.5279999999999745,203.52586197110946
BTCJPY,SELL,2025-06-14 09:32:00+00:00,15133235.0,0.01,15138568.0,15111903.0,2025-06-14 09:45:00+00:00,15126362.0,SL_HIT,0.21,0.2604118927354113,203.78627386384488
