TicketID,PositionID,Symbol,Type,OpenTimeUTC,EntryPrice,LotSize,SL_Price,TP_Price,CloseTimeUTC,ExitPrice,PNL_AccountCCY,OpenComment,CloseReason,RiskedAmount
739752708,739752708,BTCJPY,BUY,2025-06-16T06:17:46+00:00,15377348.0,0.01,15350722.0,15483852.0,2025-06-16T06:46:22+00:00,15380066.0,-0.02,LiveBot_v1_Delay,Closed by broker: [sl 15380066.00000],1.85
739894809,739894809,BTCJPY,BUY,2025-06-16T07:01:45+00:00,15409408.0,0.01,15382205.0,15518220.0,2025-06-16T08:36:05+00:00,15443683.0,2.17,LiveBot_v1_Delay,Closed by broker: LiveBot_v1_Delay,1.89
740334363,740334363,BTCUSD,BUY,2025-06-16T08:38:54+00:00,107163.11,0.01,106980.91,107891.91,2025-06-16T09:56:50+00:00,106980.91,-1.98,LiveBot_v1_Delay,Closed by broker: [sl 106980.91000],1.82
740645277,740645277,EURUSD,BUY,2025-06-16T10:01:54+00:00,1.15844,0.01,1.15768,1.16148,2025-06-16T10:15:52+00:00,1.15768,-0.83,LiveBot_v1_Delay,Closed by broker: [sl 1.15768],0.76
740724280,740724280,USDCHF,SELL,2025-06-16T10:25:27+00:00,0.81085,0.01,0.81134,0.80889,2025-06-16T11:30:37+00:00,0.811,-0.28,LiveBot_v1_Delay,Closed by broker: [sl 0.81100],0.60
741157276,741157276,GBPJPY,BUY,2025-06-16T12:08:19+00:00,195.794,0.01,195.684,196.234,2025-06-16T13:03:04+00:00,195.684,-0.91,LiveBot_v1_Delay,Closed by broker: [sl 195.684],0.76

--- Performance Summary ---,Generated: 2025-06-16T17:20:58.044860+00:00 ---
Metric,Value
Total Closed Trades,6
Winning Trades,1
Losing Trades,5
Total PNL (Account CCY),-1.85
Max Drawdown (USD),4.00
Max Drawdown (%),2.00%

--- Performance Summary ---,Generated: 2025-06-17T03:02:25.695476+00:00 ---
Metric,Value
Total Closed Trades,6
Winning Trades,1
Losing Trades,5
Total PNL (Account CCY),-1.85
Max Drawdown (USD),4.00
Max Drawdown (%),2.02%
